,Tel1,Tel2,Tel3,Les1,Les2,Les3,Sensi1,Sensi2,Sensi3,Genus,Species,Grouping
18S_30,0.116086559,0.054986354,0.062312617,0.023584464,0.02689377,0.037988423,0.294383159,0.220958132,0.100570002,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_31,0.059601488,0.039348033,0.037743642,0.021712681,0.015292536,0.063314038,0.10827582,0.311618434,0.366654897,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_311,0,0,0,0,0.032430722,0,0,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_32,0.156210436,0.096856697,0.071214419,0.136265793,0.11785799,0.160998553,1.391172212,0.164453571,0.10782113,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_33,0.284373113,0.258788989,0.158808155,0.277398222,0.310596673,0.319826339,0.794993368,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_333,0,0,0,0,0,0,0,0.043010934,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_335,0,0,0,0,0,0,0.026473306,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_336,0,0,0,0,0,0,0.026473306,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_356,0,0,0,0,0,0,0.02250231,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_363,0,0,0,0,0.01318322,0.01121563,0,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_379,0,0,0,0,0,0,0.018266581,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_384,0,0,0,0,0,0,0.017737115,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_389,0,0,0,0,0,0,0.017472382,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_391,0,0,0,0,0,0,0.017207649,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_431,0,0,0,0,0,0,0,0.021505467,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_435,0,0,0,0,0,0,0.013236653,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_441,0,0,0,0,0,0,0.012707187,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_442,0,0,0,0,0,0,0,0.02024044,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_443,0,0,0,0,0,0,0,0,0.01513279,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_453,0,0,0,0,0,0,0,0.018553736,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_46,0,0,0,0,0,0,0,0,0.190420944,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_461,0,0,0,0,0,0,0,0,0.012610659,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_479,0.01402388,0,0,0,0,0,0,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_48,0,0,0,0,0,0,0.135013859,0,0.03121138,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_489,0,0,0,0,0,0,0,0,0.01071906,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_49,0.072846263,0.075164833,0.060532257,0.024333177,0.026630105,0.030752533,0.349447634,0.075479973,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_496,0,0,0,0,0,0,0,0,0.00977326,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_50,0,0,0,0,0,0,0,0,0.161416429,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_501,0,0,0,0,0,0.010853835,0,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_53,0.11452835,0.088785306,0.092578745,0.099204492,0.123131279,0.130607815,0.109070019,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_57,0.176856703,0.17706615,0.124269162,0.061020122,0.078571994,0.084659913,0.103775358,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_571,0,0,0.003560721,0,0,0,0,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_579,0,0,0,0,0,0,0,0,0.002837398,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_593,0.002337313,0,0,0,0,0,0,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_6,2.461580413,2.290761788,1.554610778,0.851661207,0.921243441,0.878798842,8.445778699,4.213384834,0.735516659,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_60,0,0,0,0,0,0,0,0,0.058324296,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_61,0,0,0,0,0,0,0.147191579,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_65,0,0,0,0,0,0,0,0.093612033,0.125791319,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_7,0.444089519,0.422739128,0.325805969,0.173701451,0.136314499,0.244934877,0.734634232,3.521414807,5.544591289,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_70,0.136343273,0.129646725,0.076555501,0.044174076,0.053523875,0.050289436,0.057447073,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_74,0.039734325,0,0,0,0,0,0,0.126081071,0.103722666,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_78,0.052979101,0,0,0.01197941,0,0,0.066977463,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_8,0.290605948,0.283003163,0.206877889,0.09508657,0.096237509,0.201881331,0.75184188,3.944777334,5.543014956,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_88,0,0,0,0,0,0,0,0,0.143446241,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_103,0,0,0,0,0.113903024,0.164254703,0,0,0,Daptonema,NA,Less sensitive
18S_108,0,0,0,0.038558727,0.070398397,0.067293777,0,0,0,Cyatholaimus,Cyatholaimus_sp.,Less sensitive
18S_109,0,0,0,0,0.061961136,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_115,0,0,0,0.024707534,0.007646268,0.01447178,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_124,0,0.017151707,0,0.007861488,0,0,0.00953039,0,0,Calomicrolaimus,NA,Less sensitive
18S_132,0,0,0,0,0.069871068,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_136,0,0,0,0,0.013446885,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_137,0,0,0,0,0.02689377,0.064037627,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_146,0,0,0,0,0.035858359,0.060781476,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_148,0,0,0,0.062517548,0.02214781,0,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_15,0.307356693,0.348078757,0.462893727,1.221151146,1.37395523,1.246743849,0.21390431,0.366436291,0.319364927,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_151,0,0,0,0.164716893,0,0,0,0,0,Daptonema,NA,Less sensitive
18S_153,0.027658207,0.011098163,0,0.012728124,0,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_16,0.355661167,0.280480853,0.253523333,1.117454375,1.362090331,1.172214182,0.23905395,0.259752308,0.187898812,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_168,0,0,0,0,0,0.054992764,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_17,0.411756686,0.303181642,0.317616311,0.871502106,1.204946344,0.951157742,0.145603181,0.186380714,0.070619688,Calomicrolaimus,NA,Less sensitive
18S_172,0,0,0,0,0.116539668,0,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_181,0,0,0,0,0.00237298,0.077062229,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_185,0,0,0,0,0.010019248,0,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_188,0,0,0,0.01534862,0.032694387,0.037264834,0.005824127,0,0.014817524,Daptonema,NA,Less sensitive
18S_192,0.015192536,0,0,0,0.047723258,0.026410999,0,0,0,Daptonema,NA,Less sensitive
18S_197,0,0,0,0,0.013974214,0,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_20,0.294501471,0.26181576,0.200468591,0.654375292,1.058085269,0.681620839,0.12124774,0.161501841,0.130205049,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_209,0,0,0,0.032194665,0.033749044,0,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_214,0,0,0,0.01310248,0.037440346,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_219,0,0,0,0,0,0.009406657,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_222,0,0,0,0,0.029530414,0.030028944,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_223,0,0,0,0.016846046,0.025575448,0.044862518,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_224,0,0.004540158,0,0,0,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_225,0,0,0,0,0,0,0,0,0.08196928,Daptonema,NA,Less sensitive
18S_229,0.01051791,0,0,0,0.025575448,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_231,0.01947761,0,0,0,0.014765207,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_238,0,0,0,0,0,0,0,0,0.023014452,Daptonema,NA,Less sensitive
18S_240,0,0,0,0,0.003163973,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_242,0,0,0,0,0.056160519,0,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_243,0,0,0,0,0,0.077062229,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_248,0,0,0,0.03930744,0.016610858,0.012662808,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_260,0,0,0.003560721,0,0,0,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_269,0,0,0,0.011605054,0.020829488,0.01121563,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_271,0,0,0,0,0.045350278,0,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_276,0,0,0,0,0.008700925,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_284,0,0,0,0,0.00896459,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_286,0,0,0,0,0.005800617,0.001085384,0.003970996,0.004216758,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_287,0,0,0,0.004866635,0.008700925,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_291,0,0,0,0.009358914,0.008437261,0,0,0,0.010088527,Microlaimus,Microlaimus sp.,Less sensitive
18S_292,0,0,0,0,0.01318322,0.017727931,0,0,0,Daptonema,NA,Less sensitive
18S_3,10.14627685,8.823039787,6.82946283,39.1715489,44.70008174,36.92981187,5.980319745,7.567394339,10.2297662,Daptonema,Daptonema_hirsutum,Less sensitive
18S_300,0,0,0.02207647,0,0,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_301,0,0,0,0.037810014,0,0,0,0,0,Daptonema,NA,Less sensitive
18S_308,0,0,0,0,0.017401851,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_310,0,0.004035696,0.02029611,0.022835751,0,0,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_316,0,0,0,0,0,0.01121563,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_317,0,0.017656169,0,0,0.02214781,0,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_318,0,0,0,0,0.030848736,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_319,0,0,0,0,0.030585071,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_34,0.031943281,0.036321262,0.03738757,0.159850257,0.199593957,0.191389291,0.06062387,0.039215852,0.129574516,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_340,0,0,0,0,0,0.035094067,0,0,0,Daptonema,NA,Less sensitive
18S_341,0,0,0,0,0.012655892,0.017004342,0,0,0,NA,Daptonema,Less sensitive
18S_346,0,0,0,0,0,0.011939219,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_347,0,0,0,0,0.024257126,0,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_348,0,0,0,0,0,0.033285094,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_35,0.030774625,0.030267718,0.023856831,0.117173608,0.160044296,0.113241679,0.027532238,0,0.048235769,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_350,0,0,0,0.004492279,0.020829488,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_36,0,0,0,0.266916238,0.448756822,0.420043415,0.109864218,0.077166676,0.116333325,Cyatholaimus,Cyatholaimus_sp.,Less sensitive
18S_366,0,0,0,0,0.001581986,0,0,0,0.009457994,Microlaimus,Microlaimus sp.,Less sensitive
18S_37,0,0,0,0.114927468,0.208294882,0.135311143,0,0,0.116963858,Calomicrolaimus,NA,Less sensitive
18S_383,0,0,0,0,0,0,0,0,0.021438119,Daptonema,Daptonema_hirsutum,Less sensitive
18S_397,0,0,0,0,0,0,0.009265657,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_398,0,0,0,0,0,0.022793054,0,0,0,Daptonema,NA,Less sensitive
18S_399,0,0,0,0,0.00659161,0.013386397,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_405,0,0,0,0,0.015819864,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_406,0,0,0,0,0,0.02170767,0,0,0,Daptonema,NA,Less sensitive
18S_409,0,0,0,0,0,0.021345876,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_41,0.037786564,0.028754332,0.028129696,0.079363594,0.106784085,0.125542692,0.037062628,0.036264121,0.062107493,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_411,0,0,0,0.003369209,0.007646268,0.005426918,0,0,0,Daptonema,NA,Less sensitive
18S_415,0,0,0,0,0.014765207,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_42,0.068950741,0.077182681,0.072638708,0.290500702,0.170590872,0.226121563,0.054270277,0.049757747,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_423,0,0,0,0,0,0,0,0,0.017024389,Daptonema,NA,Less sensitive
18S_43,0,0,0,0.066261114,0.117066997,0.064761216,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_432,0,0,0,0,0,0,0,0,0.01607859,Daptonema,NA,Less sensitive
18S_433,0,0,0,0.004492279,0,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_440,0,0,0,0,0.012655892,0,0,0,0,Paracanthonchus ,Paracanthonchus caecus,Less sensitive
18S_444,0,0.017656169,0,0,0,0,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_449,0,0,0,0.016846046,0,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_451,0,0,0,0,0.011601234,0,0,0,0,Daptonema,NA,Less sensitive
18S_452,0,0,0,0,0,0,0.004765195,0.010963571,0,Daptonema,Daptonema_sp.,Less sensitive
18S_456,0,0,0,0.007112775,0.006064281,0,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_466,0,0,0,0.014599906,0,0,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_47,0.056095518,0,0,0,0.116276004,0.202243126,0.036268429,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_471,0,0,0,0,0.010019248,0,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_475,0,0,0,0,0,0.013386397,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_476,0,0,0,0,0,0.013386397,0,0,0,Daptonema,NA,Less sensitive
18S_480,0,0,0,0,0,0.013024602,0,0,0,Daptonema,NA,Less sensitive
18S_482,0,0,0,0.01310248,0,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_497,0,0,0,0,0,0,0,0,0.00977326,Daptonema,Daptonema_hirsutum,Less sensitive
18S_5,0.927913364,0.819246233,0.655172659,3.824426766,0.02689377,0.049565847,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_502,0,0,0,0,0,0.010853835,0,0,0,Paracanthonchus ,Paracanthonchus caecus,Less sensitive
18S_506,0,0,0,0,0.007646268,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_51,0.046356713,0.031276642,0,0.132147871,0.210404198,0.144356006,0.030709035,0.050179423,0.022699185,Daptonema,Daptonema_sp.,Less sensitive
18S_511,0,0,0,0.002246139,0.000790993,0.002894356,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_517,0,0,0,0,0.006855275,0,0,0,0,Daptonema,NA,Less sensitive
18S_518,0,0,0,0,0,0,0,0,0.007881662,Daptonema,NA,Less sensitive
18S_52,0.083364173,0.05902205,0.046645445,0.029574169,0.019774831,0.049204052,0.056917607,0.021505467,0.022699185,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_525,0,0,0,0,0,0.008321274,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_528,0,0.011098163,0,0,0,0,0,0,0,Microlaimus,Microlaimus sp.,Less sensitive
18S_530,0,0,0,0,0,0.007959479,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_536,0,0,0,0,0.005273288,0,0,0,0,Daptonema,NA,Less sensitive
18S_543,0,0,0,0,0.004745959,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_56,0,0,0,0.064014974,0.075935349,0.078871201,0,0.024878874,0.024906051,Microlaimus,Microlaimus sp.,Less sensitive
18S_561,0,0,0,0,0.003163973,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_566,0,0,0,0,0,0,0,0.004638434,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_572,0,0,0,0,0.002636644,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_573,0,0,0,0,0,0.003617945,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_578,0,0,0,0,0,0,0,0.003795082,0,Calomicrolaimus,NA,Less sensitive
18S_582,0.003116418,0,0,0,0,0,0,0,0,Calomicrolaimus,Calomicrolaimus_parahonestus,Less sensitive
18S_588,0,0,0,0,0,0.002532562,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_594,0,0.003026772,0,0,0,0,0,0,0,Daptonema,NA,Less sensitive
18S_595,0,0.003026772,0,0,0,0,0,0,0,Calomicrolaimus,NA,Less sensitive
18S_599,0.001558209,0,0,0,0,0,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_603,0,0,0,0.00112307,0,0,0,0,0,Daptonema,NA,Less sensitive
18S_604,0,0,0,0,0,0.001085384,0,0,0,Daptonema,Daptonema_sp.,Less sensitive
18S_73,0,0,0,0,0,0.10130246,0,0,0,Calomicrolaimus,Calomicrolaimus_sp.,Less sensitive
18S_77,0.024541789,0,0.012818596,0.068507253,0.077517336,0.077424023,0.019590246,0.02825228,0.03657091,Daptonema,Daptonema_sp.,Less sensitive
18S_79,0.024931341,0.028754332,0.021720398,0.087225082,0.079362987,0.042691751,0.027267505,0.015602005,0.027112916,Daptonema,NA,Less sensitive
18S_80,0,0.036825724,0.022788614,0.099204492,0.09808316,0,0.010854055,0.014758654,0.035309844,Daptonema,NA,Less sensitive
18S_85,0,0,0,0.087599438,0.100983468,0.090086831,0,0,0,Daptonema,Daptonema_hirsutum,Less sensitive
18S_9,0.291385053,1.019517633,1.416810876,7.158072064,6.527803412,6.769898698,1.532804397,1.275147692,1.637809276,Cyatholaimus,Cyatholaimus_sp.,Less sensitive
18S_96,0.014802984,0,0.011394307,0.047917642,0.061697471,0.056801737,0.011383521,0.009698544,0.017339655,Daptonema,NA,Less sensitive
18S_121,0,0,0,0,0,0.263748191,0,0,0,Euplotespora,Microsporidium sp.,Others
